# Complete USDA Foundation Foods Nutrient Analysis
# Generated from scanning the entire dataset
# Total unique nutrients found: 227
# Total foods analyzed: 65

## All Nutrients (sorted by frequency)
Format: Nutrient Name | Frequency | Example Foods
================================================================================

Leucine | 53 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Lysine | 53 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Valine | 53 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Histidine | 53 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
MUFA 15:1 | 52 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 22:2 | 52 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Vitamin D (D2 + D3) | 52 foods | Egg, whole, raw, frozen, pasteurized | Egg, white, raw, frozen, pasteurized | Egg, white, dried
Vitamin D (D2 + D3), International Units | 52 foods | Egg, whole, raw, frozen, pasteurized | Egg, white, raw, frozen, pasteurized | Egg, white, dried
MUFA 24:1 c | 51 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 20:3 n-3 | 51 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 22:4 | 51 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Vitamin A, RAE | 51 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
SFA 11:0 | 51 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Vitamin B-12 | 51 foods | Frankfurter, beef, unheated | Cheese, parmesan, grated | Cheese, pasteurized process, American, vitamin D fortified
TFA 22:1 t | 50 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Fatty acids, total trans-dienoic | 50 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Vitamin D2 (ergocalciferol) | 47 foods | Egg, whole, raw, frozen, pasteurized | Egg, white, raw, frozen, pasteurized | Egg, white, dried
Iodine, I | 46 foods | Egg, whole, raw, frozen, pasteurized | Egg, white, raw, frozen, pasteurized | Egg, white, dried
Tyrosine | 42 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Alanine | 42 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Glutamic acid | 42 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Glycine | 42 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Proline | 42 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Arginine | 42 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Aspartic acid | 42 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Serine | 42 foods | Peaches, yellow, raw | Mustard, prepared, yellow | Kiwifruit, green, raw
Vitamin D3 (cholecalciferol) | 41 foods | Egg, whole, raw, frozen, pasteurized | Egg, white, raw, frozen, pasteurized | Egg, white, dried
